"","Word","Count","Type"
"1","help",50,"Pos"
"2","love",31,"Pos"
"3","kind",15,"Pos"
"4","appreciate",9,"Pos"
"5","easy",9,"Pos"
"6","thanks",9,"Pos"
"7","timely",9,"Pos"
"8","confident",8,"Pos"
"9","great",8,"Pos"
"10","effective",5,"Pos"
"11","thank you",5,"Pos"
"12","loving",3,"Pos"
"13","outstanding",3,"Pos"
"14","very helpful",3,"Pos"
"15","appreciated",2,"Pos"
"16","excellent",2,"Pos"
"17","really appreciate",2,"Pos"
"18","super",2,"Pos"
"19","awesome",1,"Pos"
"20","capable",1,"Pos"
"21","friendly",1,"Pos"
"22","generous",1,"Pos"
"23","hard work",1,"Pos"
"24","highlight",1,"Pos"
"25","love The Monitor",1,"Pos"
"26","opportunities",1,"Pos"
"27","patient",1,"Pos"
"28","professional",1,"Pos"
"29","prompt",1,"Pos"
"30","responsive",1,"Pos"
"31","speed",1,"Pos"
"32","very good",1,"Pos"
"33","warm",1,"Pos"
"34","willing",1,"Pos"
"35","issues",37,"Neg"
"36","not received",10,"Neg"
"37","didn't",8,"Neg"
"38","have not received",8,"Neg"
"39","challenge",7,"Neg"
"40","problems",7,"Neg"
"41","odd",5,"Neg"
"42","surprised",4,"Neg"
"43","endure",3,"Neg"
"44","too much",3,"Neg"
"45","flawed",2,"Neg"
"46","in the way of",2,"Neg"
"47","missed opportunity",2,"Neg"
"48","not available",2,"Neg"
"49","not getting",2,"Neg"
"50","should not be",2,"Neg"
"51","slow",2,"Neg"
"52","would like to know",2,"Neg"
"53","blocked",1,"Neg"
"54","confusion",1,"Neg"
"55","difficulty",1,"Neg"
"56","Enterprise",1,"Neg"
"57","error message",1,"Neg"
"58","have been waiting",1,"Neg"
"59","implications",1,"Neg"
"60","irrelevant",1,"Neg"
"61","irritating",1,"Neg"
"62","junk mail",1,"Neg"
"63","message needs to disappear",1,"Neg"
"64","need better wording",1,"Neg"
"65","need to send",1,"Neg"
"66","no answer",1,"Neg"
"67","not helpful",1,"Neg"
"68","not yet",1,"Neg"
"69","nothing came up",1,"Neg"
"70","solve this",1,"Neg"
"71","still have not received",1,"Neg"
"72","too busy",1,"Neg"
"73","unresolved",1,"Neg"
"74","used to come",1,"Neg"
"75","very time consuming",1,"Neg"
"76","would have access",1,"Neg"
"77","wrong spelling",1,"Neg"
"78","check",24,"Neu"
"79","JSH-Online",19,"Neu"
"80","dailylift",15,"Neu"
"81","contacting",13,"Neu"
"82","feedback",10,"Neu"
"83","response",7,"Neu"
"84","security",7,"Neu"
"85","subscribers",6,"Neu"
"86","confirmation",5,"Neu"
"87","look forward to",5,"Neu"
"88","research",5,"Neu"
"89","Christian Science Daily Lift",4,"Neu"
"90","Christian Science Sentinel",4,"Neu"
"91","credit card information",4,"Neu"
"92","appears",3,"Neu"
"93","simply",3,"Neu"
"94","Committee on Publication",2,"Neu"
"95","like to subscribe to",2,"Neu"
"96","not always",2,"Neu"
"97","researching",2,"Neu"
"98","allows me to download",1,"Neu"
"99","billings",1,"Neu"
"100","can you send",1,"Neu"
"101","confirming",1,"Neu"
"102","doesn't",1,"Neu"
"103","doing a search",1,"Neu"
"104","I've written",1,"Neu"
"105","I have called",1,"Neu"
"106","inquiry",1,"Neu"
"107","might be helpful",1,"Neu"
"108","newer",1,"Neu"
"109","resolve",1,"Neu"
"110","send me an email",1,"Neu"
"111","would like to add",1,"Neu"
"112","would like to confirm",1,"Neu"
